battle,pdf_page,slide_column,battle_date,defender_header,captain_wu_ming_owner,captain_S1_shadows_evasion_lvl,joiner_wu_ming_owner,joiner_S1_shadows_evasion_lvl,gatot_skill2_turns,turns_vs_B1,ratio_vs_B1,comparison,provenance_flag,filename
1,1,left,2026-09-11 09:32:34,[JOE]MatiBlizzard,none,,none,,69,0,1.000,control (no Wu Ming),"defender panel matches MatiLife's B3/B4 panel, not MatiBlizzard's - confirm",MatiSparks_WuMing_B1_5v2_FC2T10InfvT9Inf+T10Inf_Gatot_NoDefenderHero_20260911_093234.json
2,1,middle,2026-09-11 09:38:18,[JOE]MatiBlizzard,MatiBlizzard,2,none,,113,44,1.638,vs B1 confounded: defender panel changes on all 12 rows,,MatiSparks_WuMing_B2_5v2_FC2T10InfvT9Inf+T10Inf_Gatot_WuMingBlizzardS1lvl2_20260911_093818.json
3,1,right,2026-09-11 09:39:29,[JOE]MatiLife,MatiLife,3,none,,130,61,1.884,vs B1 confounded: hero Infantry Attack/Defense +171.7,S2/S3 tooltips reused from B2,MatiSparks_WuMing_B3_5v2_FC2T10InfvT9Inf+T10Inf_Gatot_WuMingLifeS1lvl3_20260911_093929.json
4,2,left,2026-09-11 09:40:45,[JOE]MatiLife,MatiLife,3,MatiBlizzard,2,141,72,2.043,vs B3: +11 (x1.085) identical panel - adds joiner Wu Ming S1 Lv2,,MatiSparks_WuMing_B4_5v2_FC2T10InfvT9Inf+T10Inf_Gatot_WuMingLifeS1lvl3+JoinerWuMingBlizzardS1lvl2_20260911_094045.json
5,2,middle,not captured (after 09:40:45),[JOE]MatiLife (B4 image),MatiLife,3,MatiBlizzard,3,146,77,2.116,vs B4: +5 (x1.035) - joiner S1 Lv2->Lv3,"overview, stats and defender panel reused from B4",MatiSparks_WuMing_B5_5v2_FC2T10InfvT9Inf+T10Inf_Gatot_WuMingLifeS1lvl3+JoinerWuMingBlizzardS1lvl3_20260911_unknown.json
6,2,right,not captured (after 09:40:45),[JOE]MatiBlizzard (B2 image),MatiBlizzard,3,none,,118,49,1.710,vs B2: +5 (x1.044) - captain S1 Lv2->Lv3,overview and stats reused from B2,MatiSparks_WuMing_B6_5v2_FC2T10InfvT9Inf+T10Inf_Gatot_WuMingBlizzardS1lvl3_20260911_unknown.json
