report_id,duplicate_of,observed_winner,predicted_winner,winner_match,observed_turns,observed_turns_min,observed_turns_max,predicted_turns,turn_error,turn_match,observed_attacker_survivors,predicted_attacker_survivors,attacker_survivor_error,observed_defender_survivors,predicted_defender_survivors,defender_survivor_error,survivor_match
NanoMart_100_NoHero,,defender,defender,True,,,,88,,,0,0,0,149,170,21,False
NanoMart_100_SeoYoonlvl1,,defender,defender,True,,,,88,,,0,0,0,147,169,22,False
NanoMart_100_SeoYoonlvl2,,defender,defender,True,,,,88,,,0,0,0,144,168,24,False
NanoMart_100_SeoYoonlvl3,,defender,defender,True,,,,89,,,0,0,0,141,167,26,False
NanoMart_100_SeoYoonlvl3_Vulcanus,,defender,defender,True,,210,210,83,-127,False,0,0,0,148,170,22,False
NanoMart_100_Vulcanus,,defender,defender,True,,205,207,82,-123,False,0,0,0,156,173,17,False
NanoMart_1v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,264,264,278,14,False,1,1,0,0,0,0,True
NanoMart_1v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,defender,False,80,79,81,78,-1,False,1,0,-1,0,1,1,False
NanoMart_1v1_T1InfvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,8,7,9,18,9,False,0,0,0,1,1,0,True
NanoMart_1v1_T1InfvT6Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,68,67,69,58,-9,False,0,0,0,1,1,0,True
NanoMart_1v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,30,30,30,35,5,False,1,1,0,0,0,0,True
NanoMart_1v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,80,79,81,9,-70,False,0,0,0,1,1,0,True
NanoMart_1v1_T1MMvT1Inf_NoAttackerHero_Vulcanus,,attacker,attacker,True,68,67,69,67,0,True,1,1,0,0,0,0,True
NanoMart_1v1_T1MMvT1Lan_NoAttackerHero_Vulcanus,,defender,defender,True,20,19,21,19,0,True,0,0,0,1,1,0,True
NanoMart_1v1_T1MMvT1MM_VulcanusVsVulcanus,,defender,defender,True,12,12,12,8,-4,False,0,0,0,1,1,0,True
NanoMart_1v1_T2InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,176,175,177,151,-24,False,1,1,0,0,0,0,True
NanoMart_1v1_T2InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,266,265,267,173,-92,False,1,1,0,0,0,0,True
NanoMart_1v1_T3InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,126,126,126,105,-21,False,1,1,0,0,0,0,True
NanoMart_1v1_T3InfvT3Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,266,265,267,136,-129,False,1,1,0,0,0,0,True
NanoMart_1v1_T4InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,96,96,96,82,-14,False,1,1,0,0,0,0,True
NanoMart_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,80,79,81,67,-12,False,1,1,0,0,0,0,True
NanoMart_1v1_T6InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,96,96,96,57,-39,False,1,1,0,0,0,0,True
NanoMart_1v1_T6InfvT6Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,264,264,97,-167,False,1,1,0,0,0,0,True
NanoMart_1v2_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,192,192,192,148,-44,False,0,0,0,2,2,0,True
NanoMart_1v2_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,defender,defender,True,62,61,63,42,-19,False,0,0,0,2,2,0,True
NanoMart_1v2_T1LanvT1Inf_SeoYoonlvl3_Vulcanus,,defender,defender,True,56,55,57,61,4,False,0,0,0,2,2,0,True
NanoMart_1v2_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,defender,defender,True,20,19,21,19,0,True,0,0,0,2,2,0,True
NanoMart_1v2_T1MMvT1MM_VulcanusVsVulcanus,,defender,defender,True,8,7,9,5,-2,False,0,0,0,2,2,0,True
NanoMart_200_NoHero,,attacker,attacker,True,,,,529,,,4,8,4,0,0,0,False
NanoMart_200_SeoYoonlvl3,,attacker,attacker,True,,,,269,,,52,58,6,0,0,0,False
NanoMart_200_Vulcanus,,defender,defender,True,,379,381,285,-94,False,0,0,0,46,55,9,False
NanoMart_250_NoHero,,attacker,attacker,True,,,,176,,,109,144,35,0,0,0,False
NanoMart_250_SeoYoonlvl3,,attacker,attacker,True,,,,153,,,131,157,26,0,0,0,False
NanoMart_250_Vulcanus,,attacker,attacker,True,,355,357,190,-165,False,84,131,47,0,0,0,False
NanoMart_2v1_T1InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,186,186,186,147,-39,False,2,2,0,0,0,0,True
NanoMart_2v1_T1InfvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,56,55,57,60,3,False,2,2,0,0,0,0,True
NanoMart_2v1_T1LanvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,62,61,63,41,-20,False,2,2,0,0,0,0,True
NanoMart_2v1_T1LanvT1Lan_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,20,19,21,19,0,True,2,2,0,0,0,0,True
NanoMart_2v1_T1LanvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,6,6,6,18,12,False,0,0,0,1,1,0,True
NanoMart_2v1_T1MMvT1MM_SeoYoonlvl3_Vulcanus,,defender,defender,True,8,7,9,12,3,False,0,0,0,1,1,0,True
NanoMart_300_NoHero,,attacker,attacker,True,,,,132,,,178,218,40,0,0,0,False
NanoMart_300_SeoYoonlvl3,,attacker,attacker,True,,,,117,,,196,226,30,0,0,0,False
NanoMart_300_Vulcanus,,attacker,attacker,True,,295,297,139,-156,False,159,209,50,0,0,0,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+10D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,246,244,246,275,29,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+20D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,261,18,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+20D_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,266,265,267,266,0,True,1,1,0,0,0,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10D+10H_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,262,264,276,12,False,1,1,0,0,0,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10A+20D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,261,18,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,270,268,270,280,10,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10D_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,262,264,279,15,False,1,1,0,0,0,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+10D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,261,18,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+20D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,261,18,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+20D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,261,18,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10D_SeoYoonlvl3_Vulcanus,,defender,defender,True,270,268,270,280,10,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1LanvT1Inf_Att+20_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,72,70,72,75,3,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T1InfvT1Inf_Vulcanus_SeoYoonlvl3,,defender,defender,True,264,262,264,278,14,False,0,0,0,1,1,0,True
NanoMart_SetA_1v1_T3InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,188,187,189,121,-66,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T4InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,144,142,144,94,-48,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T5InfvT1Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,68,67,69,67,0,True,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T5InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,120,118,120,77,-41,False,1,1,0,0,0,0,True
NanoMart_SetA_1v1_T6InfvT2Inf_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,102,100,102,66,-34,False,1,1,0,0,0,0,True
