report_id,duplicate_of,observed_winner,predicted_winner,winner_match,observed_turns,observed_turns_min,observed_turns_max,predicted_turns,turn_error,turn_match,observed_attacker_survivors,predicted_attacker_survivors,attacker_survivor_error,observed_defender_survivors,predicted_defender_survivors,defender_survivor_error,survivor_match
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+20D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,194,-47,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10A+20D_SeoYoonlvl3_Vulcanus,,attacker,defender,False,266,265,267,203,-62,False,1,0,-1,0,1,1,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10A+10L_Def+10D+10H_SeoYoonlvl3_Vulcanus,,attacker,defender,False,264,262,264,202,-60,False,1,0,-1,0,1,1,False
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10A+20D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,194,-47,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,270,268,270,202,-66,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Att+10L_Def+10D_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,264,262,264,201,-61,False,1,1,0,0,0,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+10D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,194,-47,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+20D+10H_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,194,-47,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10A+20D_SeoYoonlvl3_Vulcanus,,defender,defender,True,242,241,243,194,-47,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1InfvT1Inf_Def+10D_SeoYoonlvl3_Vulcanus,,defender,defender,True,270,268,270,202,-66,False,0,0,0,1,1,0,True
NanoMart_Exp4_1v1_T1LanvT1Inf_Att+20_SeoYoonlvl3_Vulcanus,,attacker,attacker,True,72,70,72,28,-42,False,1,1,0,0,0,0,True
